DEBUG:root:Initialization
INFO:absl:Creating mfg_crowd_modelling_2d game with parameters: {'forbidden_states': '[0|0;1|0;2|0;3|0;4|0;5|0;6|0;7|0;8|0;9|0;10|0;11|0;12|0;0|1;6|1;12|1;0|2;6|2;12|2;0|3;12|3;0|4;6|4;12|4;0|5;6|5;12|5;0|6;1|6;2|6;4|6;5|6;6|6;7|6;8|6;10|6;11|6;12|6;0|7;6|7;12|7;0|8;6|8;12|8;0|9;12|9;0|10;6|10;12|10;0|11;6|11;12|11;0|12;1|12;2|12;3|12;4|12;5|12;6|12;7|12;8|12;9|12;10|12;11|12;12|12]', 'horizon': 40, 'initial_distribution': '[1|1]', 'initial_distribution_value': '[1.0]', 'size': 13, 'only_distribution_reward': True}
INFO:absl:Using game instance: mfg_crowd_modelling_2d
DEBUG:root:ppo_br: 147.57742075958853, and nash_conv: 153.78783845224862, reward: 138.4872430419922, entropy: 1.5492594718933106
DEBUG:root:ppo_br: 169.66296958839374, and nash_conv: 27.12457702635575, reward: 161.43981327311198, entropy: 1.2568601924180984
DEBUG:root:ppo_br: 169.43550711408548, and nash_conv: 26.417148272484923, reward: 161.5104855248236, entropy: 1.2550851964181469
DEBUG:root:ppo_br: 168.76372598796655, and nash_conv: 31.51854425108874, reward: 161.53089778900147, entropy: 1.2534871943295003
DEBUG:root:ppo_br: 169.61021547092537, and nash_conv: 25.688028961491426, reward: 161.60748096812856, entropy: 1.2513626273834344
DEBUG:root:ppo_br: 167.63655988100086, and nash_conv: 36.35785663476855, reward: 161.6572190587661, entropy: 1.249603725531522
DEBUG:root:ppo_br: 169.91205047809134, and nash_conv: 25.211109994193407, reward: 161.70704729352678, entropy: 1.2476869462217604
DEBUG:root:ppo_br: 167.91166751835382, and nash_conv: 43.159607567763146, reward: 161.77537416246204, entropy: 1.2470861574014027
DEBUG:root:ppo_br: 170.071990522623, and nash_conv: 22.08722900458818, reward: 161.82438595333616, entropy: 1.2457884590368014
DEBUG:root:ppo_br: 169.93186943528295, and nash_conv: 24.339611656156706, reward: 161.90766119706004, entropy: 1.2438756878438748
DEBUG:root:ppo_br: 170.26386365756687, and nash_conv: 21.638337556429377, reward: 161.95647459372495, entropy: 1.2423498069628691
DEBUG:root:ppo_br: 170.64809123101045, and nash_conv: 21.299250759102392, reward: 162.03486853027346, entropy: 1.241120616644621
DEBUG:root:ppo_br: 170.53837364034797, and nash_conv: 20.436941385817846, reward: 162.1368553347704, entropy: 1.2392986951804743
DEBUG:root:ppo_br: 170.6172736546936, and nash_conv: 21.45524838613767, reward: 162.223227175758, entropy: 1.2368367091530845
DEBUG:root:ppo_br: 169.7913816013485, and nash_conv: 25.674472010203033, reward: 162.28127584767898, entropy: 1.234900954157807
DEBUG:root:ppo_br: 170.7452240582127, and nash_conv: 21.792719757225143, reward: 162.37336124766955, entropy: 1.2335063908587802
DEBUG:root:ppo_br: 169.92594087562927, and nash_conv: 25.637265286979186, reward: 162.44865034993492, entropy: 1.2310337702433267
DEBUG:root:ppo_br: 169.86364178335833, and nash_conv: 25.98516215191688, reward: 162.5086505923064, entropy: 1.2278124529382457
DEBUG:root:ppo_br: 169.62400617971753, and nash_conv: 29.544341619013494, reward: 162.57964833361038, entropy: 1.225295712592754
DEBUG:root:ppo_br: 169.97189394442245, and nash_conv: 29.69766357689619, reward: 162.63591623942057, entropy: 1.2229720740268628
DEBUG:root:ppo_br: 171.06810511013705, and nash_conv: 18.392341473385187, reward: 162.66672301000477, entropy: 1.2211203099513541
DEBUG:root:ppo_br: 171.05282894173888, and nash_conv: 17.262764286415432, reward: 162.71966009521483, entropy: 1.2193725657463075
